Email Address,Media Source URL,1-8 word Summary,(Annotated) Screenshot,Start Time,End Time,Keywords (comma separated),Comments,Meta Level Comment?,
Anonymous 2,https://www.youtube.com/watch?v=HdEd0A8Rmyw,Auto-ethnographic Reflection,,,,"Ableism, communication","One thing that stood out to me in this video was the lack of communication when abled people were helping disabled people. It happened twice that when Shane as a disabled person, there was little to non guidance or clarification to what exactly was happening and what the next steps would look like. I understand it as a form of Ableism where he was just being taken places or redirected and not actually being talked to or having the situation explained. It is great that those tourist attraction places had a way for him to access them with his wheelchair but not communicating with him and asking what he was okay and with shows abled people making decisions for disables.",Auto-ethnographic Reflection,Ableism
Anonymous 4,https://youtu.be/jZ4I4YI1j_A,disabled people rarely mentioned during movements,,0:00:55,,"rights, equality","Now that the creator mentions this, I realized that disabled people are rarely mention when it comes to equality movements. It makes me wonder why though..",,Ableism
Anonymous 4,https://youtu.be/jZ4I4YI1j_A,"creator didn't know about the term ""Ableism""",,0:01:28,,"Ableism, term, rights","This creator did not know that the term ""Ableism"" existed. To be honest, I didn't either until recently, but that really shows how much awareness that the public has about the disabled community, especially when someone from the disabled community didn't know about this term.",,Ableism
Anonymous 4,https://youtu.be/jZ4I4YI1j_A,comparing publicity between sexism/racism/etc with Ableism,,0:01:40,0:02:28,"publicity, Ableism","This creator compares the publicity that the issue of sexism/racism/etc has compared to that of Ableism. And like the creator has mentioned before, publicity about Ableism is so limited that even the term is not well known. I can't think of a reason why this is happening at the moment..",,Ableism
Anonymous 4,https://youtu.be/jZ4I4YI1j_A,"mentions living with a ""thick skin""",,0:02:37,,Ableism,"The creator mentions living with a thick skin, which most likely means that she has had a lot of experience with Ableism and rude behavior from other people. This makes me angrier in that despite what she was going through, she didn't even know there was a term for the discrimination?! This further supports how the limited education and awareness on Ableism is an issue.",,Ableism
Anonymous 4,https://youtu.be/jZ4I4YI1j_A,explaining dread from an anticipated moment,,0:03:05,,"Ableism, dread","The creator feels oncoming dread for a situation that overlaps with school time (because a lot of kids will be present and there will be a lot of commentary). Experiencing the dread and anticipation for this kind of situation are not emotions that a person should not have to feel. Of course, I will never be able to understand what she goes through, but dread and anticipation for the worst can bring stress and anxiety",,Ableism
Anonymous 4,https://youtu.be/jZ4I4YI1j_A,definition of Ableism,,0:03:35,,"Ableism, word choice, definition","The creator defines Ableism as ""discriminating and hating against someone because of what they can or can't do so hating against someone because they're unable to do certain things"". This is quite a specific definition, and Oxford Languages just simply defines Ableism as ""discrimination in favor of able-bodied people"". I wonder if this specificity of the definition is influenced by her prior experiences.",,Ableism
Anonymous 4,https://youtu.be/jZ4I4YI1j_A,does not like the term,,0:03:51,,"Ableism, term, dislike","The creator does not like the term Ableism. I wonder why, but it's hard to come up with the reasons since I haven't personally experienced what they have gone through. How can we make this term better?",,Ableism
Anonymous 4,https://youtu.be/jZ4I4YI1j_A,casting able-bodied people for disabled roles in media,,0:04:19,0:05:30,"media, Ableism, casting, disabled roles","The creator dislikes how the media casts able-bodied actors for the roles of disabled characters. She finds this act to be offensive and disgusting, especially since they are pretending to live a life of a disabled person for the sake of a film. She specfically refers to the film ""Following Stars"". This was her favorite movie, and with the character being an amputee, I think that she would've looked up to the character. And I can't imagine the emotion of when she realized that the character wasn't actually an amputee (she genuinely believed that the actor was an amputee when she was younger).",,Ableism
Anonymous 4,https://youtu.be/jZ4I4YI1j_A,mentions a youtuber displaying Ableism,,0:06:05,,"Ableism, media, youtube","The creator watches a video who pretends to do tasks with no hands. For the creator, who has no hands, she finds this offensive and disrespectful as that youtuber was using the disability for the purpose of entertainment. I think this supports how people today are not informed and educated on Ableism and the disabled community.",,Ableism
