Email Address,Media Source URL,1-8 word Summary,(Annotated) Screenshot,Start Time,End Time,Keywords (comma separated),Comments,Meta Level Comment?,
Anonymous 2,https://disabilityvisibilityproject.com/2020/11/29/ep-91-disabled-engineers/,Disable person pursing higher education,,0:00:00,0:17:30,"wheelchair, disable, mobility, education, higher education, disabled scientist, internalized Ableism, Ableism, systemic Ableism","Emily explains that she got into chemical engineering when a professor told her that she could be on the computational side of engineering by choosing that area since the physical demands of a lab does not match her physical capabilities no matter the adaptations making it impossible for her to pursue certain engineering areas. Emily mentions the diversity trend in higher education but without the equity side of it. This means that schools are trying to bring minorities to their campuses but once they are there there are little to no support to their specific needs. Which brings up another problem as pointed out by Emily that is internalized Ableism. She shares that having to request accommodations or ask professors for some flexibility is a struggle for most disable people but she pointed out how important it is to do it in order to overcome that barrier and succeed in academia. Based on their dialogue, part of the problem is the institutions, staff, and faculty lack of understanding disabilities and how those accommodations do not mean a special treatment or take away from the student's qualification.",,Mobility
Anonymous 2,https://disabilityvisibilityproject.com/2020/11/29/ep-91-disabled-engineers/,Tech and disability,,0:17:40,0:27:40,"wheelchair, disable, mobility, internalized Ableism, Ableism, systemic Ableism, tech, inclusive design, robots","After Emily’s traumatic experience with the robot and being in the spot light, she believes that ethical design is an important part of equity specially in tech. Lack of diversity in tech compromises their products since early developmental stages. Emily doesn’t blame abled people for not being fully aware of disable people’s reality but the lack of actions to address that problem is to be blamed in tech. Tech should slow down and make sure that whatever is being created will include disable in their thought process.",,Mobility
Anonymous 2,https://disabilityvisibilityproject.com/2020/11/29/ep-91-disabled-engineers/,Tech and disability,,0:17:40,0:27:40,"wheelchair, disable, mobility, internalized Ableism, Ableism, systemic Ableism, tech, inclusive design, robots",Example of tech not acknowledging disable people. How tech can put disable people in physical and mental harmful situations when disable people are not taken into consideration. Challenges of being in the spot light and receiving either supportive or aggressive messages while disable. Challenges of dealing with dismissive behavior while disable. How disability often is an afterthought in tech.,,Mobility
Anonymous 2,https://disabilityvisibilityproject.com/2020/11/29/ep-91-disabled-engineers/,Ways to address Ableism,,0:27:40,0:34:07,"wheelchair, disable, mobility, education, disabled scientist, internalized Ableism, Ableism, systemic Ableism, tech, representation, inclusive design","After Emily’s traumatic experience with the robot and being in the spot light, she believes that ethical design is an important part of equity specially in tech. Lack of diversity in tech compromises their products since early developmental stages. Emily doesn’t blame abled people for not being fully aware of disable people’s reality but the lack of actions to address that problem is to be blamed in tech. Tech should slow down and make sure that whatever is being created will include disable in their thought process.",,Mobility
Anonymous 2,https://disabilityvisibilityproject.com/2020/11/29/ep-91-disabled-engineers/,Ways to address Ableism,,0:27:40,0:34:07,"wheelchair, disable, mobility, education, disabled scientist, internalized Ableism, Ableism, systemic Ableism, tech, representation, inclusive design","After Emily’s traumatic experience with the robot and being in the spot light, she believes that ethical design is an important part of equity specially in tech. Lack of diversity in tech compromises their products since early developmental stages. Emily doesn’t blame abled people for not being fully aware of disable people’s reality but the lack of actions to address that problem is to be blamed in tech. Tech should slow down and make sure that whatever is being created will include disable in their thought process.",,Mobility
Anonymous 2,https://disabilityvisibilityproject.com/2020/11/29/ep-91-disabled-engineers/,Addressing institutional Ableism,,0:34:07,0:38:45,"wheelchair, disable, mobility, education, internalized Ableism, Ableism, systemic Ableism, tech, representation, inclusive design, equity",Ways to address institutions ingrained in Ableism. Educational institutions and work places need to keep equity in mind since disabled people often do not have access to the fully range of opportunities that abled people do. Importance of allowing disable people to become role model in our society for better top down choices and to inspire other disables. Slow down the tech creative process when profitability comes at the expense of the marginalized.,,Mobility
Anonymous 2,https://disabilityvisibilityproject.com/2020/11/29/ep-91-disabled-engineers/,Technical analyses,,,,"podcast, design, polish, editing","The podcast uses audio effects to indicate changes of subject making it easy to follow. The audio quality is good, there is no ambient noise, and the podcast provides a transcript in pdf and google files. I decided to use my headphones while listening since the host sometimes may require more attention to understand which I believe is due to her need to use a respiratory device however I did not need to use the transcript at any moment. Their website uses tags and links with more information about those involved with it making it easy to explore their individual work. There is also “related links” section with links to directly related topics discussed during the podcast. An annotated picture of Emily Ackerman and a short intro. There is a comment section and links to next and previous content which makes navigation fairly easy. It is a simple white background page, with little variance of font type and size throughout the page and a minimalist design.",Yes,Mobility
Anonymous 2,https://disabilityvisibilityproject.com/2021/03/10/my-year-of-nothing-but-everything/,Struggle of a physically dependent person during COVID,,,,"wheelchair, COVID, vaccine, Ableism, equity, public health, coronavirus","In this first paragraph, Emily gives an a brief of how limited to certain locations and people her life was and how the pandemic took that from her and confined her in her one bedroom apartment. Her comment “as a person who has trouble surviving the common cold” shows how she disproportionally is affected by a regular cold and how the pandemic situation took a toll on her mental health and willingness or fear to go places. In the second paragraph, exposed a difficult reality for those who depend of others for their most basic personal needs. She previously had 10-15 personal care aides to help her with 6 hours of daily basic needs but their inability to isolate themselves presented a risk to Emily. This generated an internal conflict between getting infected and having her basic needs met. Like she said “for the first time ever in adulthood, I’ve found myself resentful and wishing for the ability to truly live independently without the need for assistance with my daily activities”. This shows the constant mental exhaustion that she must have felt on top of having to face all the stress we all had to deal.",,Mobility
Anonymous 2,https://disabilityvisibilityproject.com/2021/03/10/my-year-of-nothing-but-everything/,Vaccination priority and roll out,,,,"wheelchair, COVID, vaccine, Ableism, equity, public health, coronavirus, Ableism","Third paragraph points out the initial guidelines for vaccination did not consider people under 65 with high-risk to be the highest priority. This generated months of anxiety and when they finally moved people under 64 with high-risk to highest priority, Emily battle became to prove she was one of them to whoever was responsible for the vaccination. Lack of guidelines, information, proper procedure, and systematic Ableism lead to Emily trying to prove she was in that group even though being of young age.
Fourth paragraph goes in detail how the state’s recognition of her need for early vaccination did not translate to accessible vaccination. Places responsible for distriburing vaccines had people entering their information to register for vaccination on demand and Emily’s compromised motor abilities made it extra difficult for her to fill out those forms quickly in order to guarantee a spot. Also, this same system would generate one day’s notice appointment which for someone who relies on others to almost everything is like she says “the disable nightmare”.",,Mobility
Anonymous 2,https://disabilityvisibilityproject.com/2021/03/10/my-year-of-nothing-but-everything/,Systematic Ableism when trying to get vaccinated,,,,"wheelchair, COVID, vaccine, Ableism, equity, public health, coronavirus","Fifth and sixth paragraph show Emily’s continued battle to try to overcome the systematic Ableism in trying to receive a vaccine which state of Pennsylvania had on paper that she was eligible to get. She brings up that young abled students were able to get vaccinated through a partnership between her university and the state because those students had contact with patients but she was still denied to receive her dose. Emily expose the difficulty to get an appointment through CVS since it was open to millions of people, the inability to get vaccinated through her school even though that was a much smaller set of eligible students, and the fact that private medical practitioners were overwhelmed by the general public and did not present a viable way for her to get her vaccine or even general information. She brings up how she saw the “shrug of responsibility from numerous institutions” when confronted about the lack of vaccination equity.",,Mobility
Anonymous 2,https://disabilityvisibilityproject.com/2021/03/10/my-year-of-nothing-but-everything/,Use of Facebook and systemic bias during COVID,,,,"white supremacy, BIPOC, privatization, bias, Ableism, COVID, Facebook","Paragraphs seven and eight expose some of the systematic Ableism and overall inequality. Emily starts be sharing her use of the social media Facebook and a tool to connect and see shared experiences of others trying to get the vaccine, understand what is happening, or express joy for finally being vaccinated. Emily points out that Facebook became a double swarded resource since it helped her see the broader difficulties faced by different communities of her region and see that she was not alone but at the same time the Facebook group exposed “emotional extremes”. She points out that it was challenge to handle those emotional appeals online and it also revealed how disable lives overall were disproportionally left out since the beginning of quarantine. Emily includes BIPOC into her analyses of those left out and criticizes white supremacy as part of the US medical bias. Other spect Emily writes about is the “history of defunded public health in favor of privatization” which lead to poor infrastructure and unequal system is the exchange of the ultimate goal of profit which affected minorities disproportionally. Like she mentions, disable lives were not celebrated before and most likely will not receive recognition for their loses due to covid, being once more purposefully unseen by our society.",,Mobility
Anonymous 2,https://disabilityvisibilityproject.com/2021/03/10/my-year-of-nothing-but-everything/,Internalized Ableism and community importance,,,,"wheelchair, COVID, vaccine, Ableism, equity, public health, coronavirus, confinement, BIPOC","The last four paragraphs expose the intersectionality and mutual support among marginalized communities and how important their mutual support is for their survival. Emily shares that she got her first dose on February 17th on a day’s notice opportunity that was 1.5 hours away from her. This is a clear demonstration of how inaccessible the process was. Emily had the help of a queer BIPOC to help her achieve her vaccination goal and how that same person was tested positive a few days later which put her in stress and made Emily feel bad for having asked that person to expose themselves and because of that they could have potentially exposed other. As Emely reports “anyone who lives independently dependently knows the internalized Ableism that materializes as guilt for asking for too much from others” which gives us a peek of how Ableism can manifest within a disable person which I imagine to be mentally challenging to deal with because on matter how she feels she still cannot change her condition. Another peek to a disable person journey during COVID, “asking the people I love to knowingly expose themselves while waiting for my test results was something I hope to never need to do again” this shows that a disable person who have been exposed still have to rely on someone willingness to take them to a testing site which also means willingness to expose themselves. Emily ends her letter by wishing that after the health and institutional disparities that the COVID situation helped expose will gain more national visibility even after the pandemic and hopefully trigger systematic changes. Lastly, she calls it the Year of Nothing but still recognizes her emotions, bedroom confinement, and marginalized communities as her everything during that challenging year.",,Mobility
